id;start_date;end_date;language
1;2020-01-11T11:59:23;2020-01-11T09:49:38;SPANISH
2;2020-01-10T16:49:34;2020-01-11T11:53:59;SPANISH
3;2020-01-11T07:44:53;2020-01-10T18:19:02;FRENCH
4;2020-01-10T23:02:24;2020-01-11T10:33:50;FRENCH
5;2020-01-11T08:32:42;2020-01-11T13:19:41;FRENCH
6;2020-01-11T02:25:03;2020-01-11T14:33:17;FRENCH
7;2020-01-11T04:10:23;2020-01-10T22:01:14;FRENCH
8;2020-01-11T03:06:36;2020-01-11T13:22:44;SPANISH
9;2020-01-11T01:47:45;2020-01-10T22:29:08;SPANISH
10;2020-01-11T09:59:49;2020-01-10T20:34:19;SPANISH
